"title","start","end","prof","type_cours","titre","id_mat","groupe"
"Programmation système\nCOURS\nMercier, Guillaume\n1/8","2014-05-20T06:50:00.000Z","2014-05-20T08:10:00.000Z","Mercier, Guillaume","COURS","Programmation système","IF210","0"
"Projet Réseaux et système\nProjet\nMercier, Guillaume\nGroupe 1\n1/2","2014-05-19T08:10:00.000Z","2014-05-19T09:30:00.000Z","Mercier, Guillaume","Projet","Projet Réseaux et système","PR204","1"
